Commercial Credit,1AFS,AFS3/AFSE (Automated Financial Systems),CAR (F_COMMERCIAL),ECD,Data Producer,Source System (SOR),N/A,Active,N/A,Source,Automated,Active,N/A,Business Party,Instruments,N/A,N/A,Deposit,N/A,Atomic,End-of-Month,Monthly,Active,N/A,N,Y,WFC Commercial Credit Risk Architecture 07112014_v2,ACE System LOB Product Mapping
Commercial Credit,1AFS,AFS3/AQS (Automated Financial Systems),CAR (F_COMMERCIAL),ECD,Data Producer,Source System (SOR),N/A,Active,N/A,Source,Automated,Active,N/A,Business Party,Instruments,N/A,N/A,Deposit,N/A,Atomic,End-of-Month,Monthly,Active,N/A,N,Y,WFC Commercial Credit Risk Architecture 07112014_v2,ACE System LOB Product Mapping
Commercial Credit,ECD,CAR (F_COMMERCIAL),ACE,ACE,Data Broker,Data Warehouse of Record,Data Source Layer,Active,N/A,Aggregate,Automated,Active,N/A,Business Party,Instruments,N/A,N/A,Deposit,N/A,Aggregated,End-of-Month,Monthly,Active,N/A,N,Y,WFC Commercial Credit Risk Architecture 07112014_v2,ACE System LOB Product Mapping
Commercial Credit,ECD,CAR (F_COMMERCIAL),ACE,ACE,Data Broker,Data Warehouse of Record,Data Source Layer,Active,N/A,Aggregate,Automated,Active,N/A,Business Party,N/A,N/A,N/A,N/A,Industry,Aggregated,End-of-Month,Monthly,Active,N/A,N,Y,WFC Commercial Credit Risk Architecture 07112014_v2,ACE System LOB Product Mapping
Commercial Credit,ECD,CAR (F_COMMERCIAL),ACE,ACE,Data Broker,Data Warehouse of Record,Data Source Layer,Active,N/A,Aggregate,Automated,Active,N/A,Business Party,N/A,N/A,N/A,N/A,Rating,Aggregated,End-of-Month,Monthly,Active,N/A,N,Y,WFC Commercial Credit Risk Architecture 07112014_v2,ACE System LOB Product Mapping
Commercial Credit,ECD,CAR (F_COMMERCIAL),ACE,ACE,Data Broker,Data Warehouse of Record,Data Source Layer,Active,N/A,Aggregate,Automated,Active,N/A,Business Party,N/A,N/A,N/A,N/A,Hierarchy,Aggregated,End-of-Month,Monthly,Active,N/A,N,Y,WFC Commercial Credit Risk Architecture 07112014_v2,ACE System LOB Product Mapping
Commercial Credit,ECD,CAR (F_COMMERCIAL),ACE,ACE,Data Broker,Data Warehouse of Record,Data Source Layer,Active,N/A,Aggregate,Automated,Active,N/A,Entity,Instruments,N/A,N/A,Deposit,N/A,Aggregated,End-of-Month,Monthly,Active,N/A,N,Y,WFC Commercial Credit Risk Architecture 07112014_v2,ACE System LOB Product Mapping
Commercial Credit,ECD,CAR (F_COMMERCIAL),ACE,ACE,Data Broker,Data Warehouse of Record,Data Source Layer,Active,N/A,Aggregate,Automated,Active,N/A,Entity,N/A,N/A,N/A,N/A,Industry,Aggregated,End-of-Month,Monthly,Active,N/A,N,Y,WFC Commercial Credit Risk Architecture 07112014_v2,ACE System LOB Product Mapping
Commercial Credit,ECD,CAR (F_COMMERCIAL),ACE,ACE,Data Broker,Data Warehouse of Record,Data Source Layer,Active,N/A,Aggregate,Automated,Active,N/A,Entity,N/A,N/A,N/A,N/A,Rating,Aggregated,End-of-Month,Monthly,Active,N/A,N,Y,WFC Commercial Credit Risk Architecture 07112014_v2,ACE System LOB Product Mapping
Commercial Credit,ECD,CAR (F_COMMERCIAL),ACE,ACE,Data Broker,Data Warehouse of Record,Data Source Layer,Active,N/A,Aggregate,Automated,Active,N/A,Entity,N/A,N/A,N/A,N/A,Hierarchy,Aggregated,End-of-Month,Monthly,Active,N/A,N,Y,WFC Commercial Credit Risk Architecture 07112014_v2,ACE System LOB Product Mapping
Commercial Credit,ECD,CAR (F_COMMERCIAL),CONSUMER_F,ECD,Data Broker,Data Warehouse of Record,Data Source Layer,Active,N/A,Aggregate,Automated,Active,N/A,Business Party,Instruments,N/A,N/A,Deposit,N/A,Aggregated,End-of-Month,Monthly,Active,N/A,N,Y,WFC Commercial Credit Risk Architecture 07112014_v2,ACE System LOB Product Mapping
Commercial Credit,ECD,CAR (F_COMMERCIAL),CONSUMER_F,ECD,Data Broker,Data Warehouse of Record,Data Source Layer,Active,N/A,Aggregate,Automated,Active,N/A,Business Party,N/A,N/A,N/A,N/A,Industry,Aggregated,End-of-Month,Monthly,Active,N/A,N,Y,WFC Commercial Credit Risk Architecture 07112014_v2,ACE System LOB Product Mapping
Commercial Credit,ECD,CAR (F_COMMERCIAL),CONSUMER_F,ECD,Data Broker,Data Warehouse of Record,Data Source Layer,Active,N/A,Aggregate,Automated,Active,N/A,Business Party,N/A,N/A,N/A,N/A,Rating,Aggregated,End-of-Month,Monthly,Active,N/A,N,Y,WFC Commercial Credit Risk Architecture 07112014_v2,ACE System LOB Product Mapping
Commercial Credit,ECD,CAR (F_COMMERCIAL),CONSUMER_F,ECD,Data Broker,Data Warehouse of Record,Data Source Layer,Active,N/A,Aggregate,Automated,Active,N/A,Business Party,N/A,N/A,N/A,N/A,Hierarchy,Aggregated,End-of-Month,Monthly,Active,N/A,N,Y,WFC Commercial Credit Risk Architecture 07112014_v2,ACE System LOB Product Mapping
Commercial Credit,ECD,CAR (F_COMMERCIAL),CONSUMER_F,ECD,Data Broker,Data Warehouse of Record,Data Source Layer,Active,N/A,Aggregate,Automated,Active,N/A,Entity,Instruments,N/A,N/A,Deposit,N/A,Aggregated,End-of-Month,Monthly,Active,N/A,N,Y,WFC Commercial Credit Risk Architecture 07112014_v2,ACE System LOB Product Mapping
Commercial Credit,ECD,CAR (F_COMMERCIAL),CONSUMER_F,ECD,Data Broker,Data Warehouse of Record,Data Source Layer,Active,N/A,Aggregate,Automated,Active,N/A,Entity,N/A,N/A,N/A,N/A,Industry,Aggregated,End-of-Month,Monthly,Active,N/A,N,Y,WFC Commercial Credit Risk Architecture 07112014_v2,ACE System LOB Product Mapping
Commercial Credit,ECD,CAR (F_COMMERCIAL),CONSUMER_F,ECD,Data Broker,Data Warehouse of Record,Data Source Layer,Active,N/A,Aggregate,Automated,Active,N/A,Entity,N/A,N/A,N/A,N/A,Rating,Aggregated,End-of-Month,Monthly,Active,N/A,N,Y,WFC Commercial Credit Risk Architecture 07112014_v2,ACE System LOB Product Mapping
Commercial Credit,ECD,CAR (F_COMMERCIAL),CONSUMER_F,ECD,Data Broker,Data Warehouse of Record,Data Source Layer,Active,N/A,Aggregate,Automated,Active,N/A,Entity,N/A,N/A,N/A,N/A,Hierarchy,Aggregated,End-of-Month,Monthly,Active,N/A,N,Y,WFC Commercial Credit Risk Architecture 07112014_v2,ACE System LOB Product Mapping
Commercial Credit,ECD,CAR (F_COMMERCIAL),BRADS,3151,Data Broker,Data Warehouse of Record,Data Source Layer,Active,N/A,Aggregate,Automated,Active,N/A,Business Party,Instruments,N/A,N/A,Deposit,N/A,Aggregated,End-of-Month,Monthly,Active,N/A,N,Y,WFC Commercial Credit Risk Architecture 07112014_v2,ACE System LOB Product Mapping
Commercial Credit,ECD,CAR (F_COMMERCIAL),BRADS,3151,Data Broker,Data Warehouse of Record,Data Source Layer,Active,N/A,Aggregate,Automated,Active,N/A,Business Party,N/A,N/A,N/A,N/A,Industry,Aggregated,End-of-Month,Monthly,Active,N/A,N,Y,WFC Commercial Credit Risk Architecture 07112014_v2,ACE System LOB Product Mapping
Commercial Credit,ECD,CAR (F_COMMERCIAL),BRADS,3151,Data Broker,Data Warehouse of Record,Data Source Layer,Active,N/A,Aggregate,Automated,Active,N/A,Business Party,N/A,N/A,N/A,N/A,Rating,Aggregated,End-of-Month,Monthly,Active,N/A,N,Y,WFC Commercial Credit Risk Architecture 07112014_v2,ACE System LOB Product Mapping
Commercial Credit,ECD,CAR (F_COMMERCIAL),BRADS,3151,Data Broker,Data Warehouse of Record,Data Source Layer,Active,N/A,Aggregate,Automated,Active,N/A,Business Party,N/A,N/A,N/A,N/A,Hierarchy,Aggregated,End-of-Month,Monthly,Active,N/A,N,Y,WFC Commercial Credit Risk Architecture 07112014_v2,ACE System LOB Product Mapping
Commercial Credit,ECD,CAR (F_COMMERCIAL),BRADS,3151,Data Broker,Data Warehouse of Record,Data Source Layer,Active,N/A,Aggregate,Automated,Active,N/A,Entity,Instruments,N/A,N/A,Deposit,N/A,Aggregated,End-of-Month,Monthly,Active,N/A,N,Y,WFC Commercial Credit Risk Architecture 07112014_v2,ACE System LOB Product Mapping
Commercial Credit,ECD,CAR (F_COMMERCIAL),BRADS,3151,Data Broker,Data Warehouse of Record,Data Source Layer,Active,N/A,Aggregate,Automated,Active,N/A,Entity,N/A,N/A,N/A,N/A,Industry,Aggregated,End-of-Month,Monthly,Active,N/A,N,Y,WFC Commercial Credit Risk Architecture 07112014_v2,ACE System LOB Product Mapping
Commercial Credit,ECD,CAR (F_COMMERCIAL),BRADS,3151,Data Broker,Data Warehouse of Record,Data Source Layer,Active,N/A,Aggregate,Automated,Active,N/A,Entity,N/A,N/A,N/A,N/A,Rating,Aggregated,End-of-Month,Monthly,Active,N/A,N,Y,WFC Commercial Credit Risk Architecture 07112014_v2,ACE System LOB Product Mapping
Commercial Credit,ECD,CAR (F_COMMERCIAL),BRADS,3151,Data Broker,Data Warehouse of Record,Data Source Layer,Active,N/A,Aggregate,Automated,Active,N/A,Entity,N/A,N/A,N/A,N/A,Hierarchy,Aggregated,End-of-Month,Monthly,Active,N/A,N,Y,WFC Commercial Credit Risk Architecture 07112014_v2,ACE System LOB Product Mapping
Commercial Credit,ACE,ACE,CDSL,3154,Data Servicer,Enterprise Analytic App,N/A,Active,N/A,Aggregate,Automated,Active,N/A,Business Party,Instruments,N/A,N/A,Deposit,N/A,Aggregated,End-of-Month,Monthly,Active,N/A,N,Y,WFC Commercial Credit Risk Architecture 07112014_v2,ACE System LOB Product Mapping
Commercial Credit,ACE,ACE,CDSL,3154,Data Servicer,Enterprise Analytic App,N/A,Active,N/A,Aggregate,Automated,Active,N/A,Business Party,N/A,N/A,N/A,N/A,Industry,Aggregated,End-of-Month,Monthly,Active,N/A,N,Y,WFC Commercial Credit Risk Architecture 07112014_v2,ACE System LOB Product Mapping
Commercial Credit,ACE,ACE,CDSL,3154,Data Servicer,Enterprise Analytic App,N/A,Active,N/A,Aggregate,Automated,Active,N/A,Business Party,N/A,N/A,N/A,N/A,Rating,Aggregated,End-of-Month,Monthly,Active,N/A,N,Y,WFC Commercial Credit Risk Architecture 07112014_v2,ACE System LOB Product Mapping
Commercial Credit,ACE,ACE,CDSL,3154,Data Servicer,Enterprise Analytic App,N/A,Active,N/A,Aggregate,Automated,Active,N/A,Business Party,N/A,N/A,N/A,N/A,Hierarchy,Aggregated,End-of-Month,Monthly,Active,N/A,N,Y,WFC Commercial Credit Risk Architecture 07112014_v2,ACE System LOB Product Mapping
Commercial Credit,ACE,ACE,CDSL,3154,Data Servicer,Enterprise Analytic App,N/A,Active,N/A,Aggregate,Automated,Active,N/A,Entity,Instruments,N/A,N/A,Deposit,N/A,Aggregated,End-of-Month,Monthly,Active,N/A,N,Y,WFC Commercial Credit Risk Architecture 07112014_v2,ACE System LOB Product Mapping
